dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error,blocks,repeats,kernel_ms_avg,kernel_ms_std,total_ms_avg,total_ms_std,verified,dataset
exponential,radix,gpu,uint64,1000000,256,12.528077,0.000000,12.528077,79.820710,8000000.000000,0.008000,0.638566,1,1,0.000000,64,3,12.481248,0.116063,12.528077,0.117349,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n1000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,1000000,256,7.844517,0.000000,7.844517,127.477580,8000000.000000,0.008000,1.019821,1,1,0.000000,64,3,7.715179,0.004695,7.844517,0.010762,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n1000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,1000000,256,13.760670,0.000000,13.760670,72.670880,8000000.000000,0.008000,0.581367,1,1,0.000000,64,3,13.740907,0.233519,13.760670,0.232306,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n1000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,radix,gpu,uint64,10000000,256,115.476319,0.000000,11.547632,86.597842,80000000.000000,0.080000,0.692783,1,1,0.000000,64,3,115.427915,0.099441,115.476319,0.100036,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,10000000,256,139.367846,0.000000,13.936785,71.752562,80000000.000000,0.080000,0.574020,1,1,0.000000,64,3,138.462209,0.014917,139.367846,0.195205,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,10000000,256,124.373439,0.000000,12.437344,80.403019,80000000.000000,0.080000,0.643224,1,1,0.000000,64,3,124.357506,0.279101,124.373439,0.278954,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n10000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,radix,gpu,uint64,100000000,256,1148.975326,0.000000,11.489753,87.034071,800000000.000000,0.800000,0.696273,1,1,0.000000,64,3,1148.908229,0.180622,1148.975326,0.180703,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bitonic,gpu,uint64,100000000,256,1486.322036,0.000000,14.863220,67.280170,800000000.000000,0.800000,0.538241,1,1,0.000000,64,3,1478.323853,0.034845,1486.322036,2.185832,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
exponential,bucket_radix,gpu,uint64,100000000,256,1235.102752,0.000000,12.351028,80.964924,800000000.000000,0.800000,0.647719,1,1,0.000000,64,3,1235.071045,0.160657,1235.102752,0.158133,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/exponential_n100000000_min0_max4294967295_dtypeuint64_seed42_lam1.0.bin
staggered,radix,gpu,uint64,10000,256,0.977932,0.000000,97.793200,10.225660,80000.000000,0.000080,0.081805,1,1,0.000000,40,3,0.934507,0.115579,0.977932,0.117973,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,10000,256,0.282649,0.000000,28.264933,35.379528,80000.000000,0.000080,0.283036,1,1,0.000000,40,3,0.262603,0.005711,0.282649,0.011770,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,10000,256,1.194272,0.000000,119.427167,8.373304,80000.000000,0.000080,0.066986,1,1,0.000000,40,3,1.185152,0.277487,1.194272,0.280381,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n10000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,radix,gpu,uint64,100000,256,2.036401,0.000000,20.364010,49.106242,800000.000000,0.000800,0.392850,1,1,0.000000,64,3,1.993941,0.118177,2.036401,0.119949,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bitonic,gpu,uint64,100000,256,0.698862,0.000000,6.988617,143.089834,800000.000000,0.000800,1.144719,1,1,0.000000,64,3,0.635915,0.006442,0.698862,0.019050,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,bucket_radix,gpu,uint64,100000,256,2.566557,0.000000,25.665570,38.962704,800000.000000,0.000800,0.311702,1,1,0.000000,64,3,2.542496,0.239727,2.566557,0.238726,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n100000_min0_max4294967295_dtypeuint64_seed42.bin
staggered,radix,gpu,uint64,1000000,256,12.607900,0.000000,12.607900,79.315352,8000000.000000,0.008000,0.634523,1,1,0.000000,64,3,12.561526,0.076163,12.607900,0.077654,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/staggered_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
