dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error
uniform_counting_limit,radix,omp,int64,100,8,0.745487,7.45487e-06,7454.87,0.134141,800,8e-07,0.00107312,true,true,"none"
uniform,radix,seq,int64,100000000,8,13380,1.338e-07,133.8,7.47384,8e+08,0.8,0.0597908,true,true,"none"
uniform,radix,omp,int64,100000000,8,3655.66,3.65566e-08,36.5566,27.3548,8e+08,0.8,0.218839,true,true,"none"
uniform,radix,seq,int64,10000000,8,1322.22,1.32222e-07,132.222,7.56304,8e+07,0.08,0.0605043,true,true,"none"
uniform,radix,omp,int64,10000000,8,362.225,3.62225e-08,36.2225,27.6072,8e+07,0.08,0.220857,true,true,"none"
uniform,radix,seq,int64,1000000,8,102.789,1.02789e-07,102.789,9.72869,8e+06,0.008,0.0778295,true,true,"none"
uniform,radix,omp,int64,1000000,8,33.3028,3.33028e-08,33.3028,30.0275,8e+06,0.008,0.24022,true,true,"none"
uniform,radix,seq,int64,100000,8,10.1964,1.01964e-07,101.964,9.80736,800000,0.0008,0.0784589,true,true,"none"
uniform,radix,omp,int64,100000,8,4.24315,4.24315e-08,42.4315,23.5674,800000,0.0008,0.188539,true,true,"none"
uniform,radix,seq,int64,10000,8,1.15914,1.15914e-07,115.914,8.62711,80000,8e-05,0.0690169,true,true,"none"
uniform,radix,omp,int64,10000,8,1.03958,1.03958e-07,103.958,9.61925,80000,8e-05,0.076954,true,true,"none"
uniform,radix,seq,int64,1000,8,0.423324,4.23324e-07,423.324,2.36226,8000,8e-06,0.0188981,true,true,"none"
uniform,radix,omp,int64,1000,8,0.872908,8.72908e-07,872.908,1.1456,8000,8e-06,0.00916477,true,true,"none"
uniform,radix,seq,int64,100,8,0.069101,6.9101e-07,691.01,1.44716,800,8e-07,0.0115773,true,true,"none"
uniform,radix,omp,int64,100,8,0.58978,5.8978e-06,5897.8,0.169555,800,8e-07,0.00135644,true,true,"none"
uniform_pigeonhole_limit,radix,seq,int64,100000000,8,13086.3,1.30863e-07,130.863,7.64156,8e+08,0.8,0.0611325,true,true,"none"
uniform_pigeonhole_limit,radix,omp,int64,100000000,8,3834.29,3.83429e-08,38.3429,26.0805,8e+08,0.8,0.208644,true,true,"none"
uniform_pigeonhole_limit,radix,seq,int64,10000000,8,1162.32,1.16232e-07,116.232,8.60349,8e+07,0.08,0.0688279,true,true,"none"
uniform_pigeonhole_limit,radix,omp,int64,10000000,8,388.137,3.88137e-08,38.8137,25.7641,8e+07,0.08,0.206113,true,true,"none"
uniform_pigeonhole_limit,radix,seq,int64,1000000,8,105.862,1.05862e-07,105.862,9.44626,8e+06,0.008,0.0755701,true,true,"none"
uniform_pigeonhole_limit,radix,omp,int64,1000000,8,34.0225,3.40225e-08,34.0225,29.3923,8e+06,0.008,0.235139,true,true,"none"
uniform_pigeonhole_limit,radix,seq,int64,100000,8,10.0525,1.00525e-07,100.525,9.94775,800000,0.0008,0.079582,true,true,"none"
uniform_pigeonhole_limit,radix,omp,int64,100000,8,4.18991,4.18991e-08,41.8991,23.8669,800000,0.0008,0.190935,true,true,"none"
uniform_pigeonhole_limit,radix,seq,int64,10000,8,1.09983,1.09983e-07,109.983,9.09234,80000,8e-05,0.0727387,true,true,"none"
uniform_pigeonhole_limit,radix,omp,int64,10000,8,1.60747,1.60747e-07,160.747,6.22094,80000,8e-05,0.0497676,true,true,"none"
uniform_pigeonhole_limit,radix,seq,int64,1000,8,0.478693,4.78693e-07,478.693,2.08902,8000,8e-06,0.0167122,true,true,"none"
uniform_pigeonhole_limit,radix,omp,int64,1000,8,0.641358,6.41358e-07,641.358,1.55919,8000,8e-06,0.0124735,true,true,"none"
uniform_pigeonhole_limit,radix,seq,int64,100,8,0.069597,6.9597e-07,695.97,1.43684,800,8e-07,0.0114947,true,true,"none"
uniform_pigeonhole_limit,radix,omp,int64,100,8,0.573498,5.73498e-06,5734.98,0.174369,800,8e-07,0.00139495,true,true,"none"
